url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,136,69
/PetervanLunteren/addaxai,53,2
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,51,16
/PetervanLunteren/AddaxAI/tree/main,46,18
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,39,28
/PetervanLunteren/AddaxAI/issues,34,10
/PetervanLunteren/AddaxAI/actions,29,2
/PetervanLunteren/AddaxAI/tree/main/install_files,25,10
/PetervanLunteren/AddaxAI/releases,24,13
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,24,2
